equipamento,tipo,logradouro,velocidade_via,latitude,longitude,bairro,,
FS009,Fotossensor,AV. CDE. DA BOA VISTASEMAFORO 486.,40 Km/h,-8061165,-348832943,Boa Vista,-0.8061165,-34.8832943
FS010,Fotossensor,AV. GOV. AGAMENON MAGALHAESSEMAFORO 069.,60 Km/h,-80626244,-348973606,Paissandu,-8.0626244,-34.8973606
FS011,Fotossensor,RUA PROF. ARNALDO CARNEIRO LEAOSEMAFORO 544.,60 Km/h,-81151484,-349006181,Areias,-8.1151484,-34.9006181
FS012,Fotossensor,AV. GOV. AGAMENON MAGALHAESSEMAFORO 173.,60 Km/h,-80516928,-348950315,Graças,-8.0516928,-34.8950315
FS014,Fotossensor,AV. BOA VIAGEMSEMAFORO 104.,60 Km/h,-80919008,-348820881,Pina,-8.0919008,-34.8820881
FS015,Fotossensor,AV. MARECHAL MASCARENHAS DE MORAESSEMAFORO 530/531.,60 Km/h,-81273728,-349155178,Imbiribeira,-8.1273728,-34.9155178
FS016,Fotossensor,AV. RECIFESEMAFORO 336.,60 Km/h,-81003544,-349282125,Caçote,-8.1003544,-34.9282125
FS017,Fotossensor,AV. RECIFESEMAFORO 617.,60 Km/h,-8100547,-349280824,Boa Viagem,-0.8100547,-34.9280824
FS018,Fotossensor,AV. DEZESSETE DE AGOSTOSEMAFORO 370.,60 Km/h,-80277621,-34928001,Monteiro,-8.0277621,-3.4928001
FS019,Fotossensor,PONTE DELMIRO GOUVEIASEMAFORO 075.,50 Km/h,-805671,-3489797,Derby,-0.0805671,-0.3489797
FS020,Fotossensor,AV. BEBERIBESEMAFORO 131.,60 Km/h,-80278685,-348929091,Beberibe,-8.0278685,-34.8929091
FS021,Fotossensor,AV. ENG. ABDIAS DE CARVALHOSEMAFORO 328.,60 Km/h,-806242,-3491688,Prado,-0.0806242,-0.3491688
FS022,Fotossensor,RUA REAL DA TORRESEMAFORO 237.,50 Km/h,-805538,-3490906,Madalena,-0.0805538,-0.3490906
FS023,Fotossensor,AV.NORTE MIGUEL ARRAES DE ALENCARSEMAFORO 424,60 Km/h,-80182744,-349283043,Macaxeira,-8.0182744,-34.9283043
FS024,Fotossensor,RUA GUILHERME PINTOSEMAFORO 432.,40 Km/h,-805216,-3490217,Graças,-0.0805216,-0.3490217
FS025,Fotossensor,AV. DESEMBARGADOR JOSÉ NEVESSEMAFORO 580,50 Km/h,-81215132,-349093425,Boa Viagem,-8.1215132,-34.9093425
FS026,Fotossensor,AV. DESEMBARGADOR JOSÉ NEVESSEMAFORO 400,50 Km/h,-81214297,-349098383,Imbiribeira,-8.1214297,-34.9098383
FS027,Fotossensor,RUA VISCONDE DE JEQUITINHONHASEMAFORO 158,60 Km/h,-81362834,-349035808,Boa Viagem,-8.1362834,-34.9035808
FS028,Fotossensor,RUA VISCONDE DE JEQUITINHONHASEMAFORO 158,60 Km/h,-81362834,-349035808,Boa Viagem,-8.1362834,-34.9035808
FS029,Fotossensor,RUA FALCAO DE LACERDA SEMAFORO 285,50 Km/h,-80920388,-349614941,Tejipió,-8.0920388,-34.9614941
FS030,Fotossensor,AV. LIBERDADESEMAFORO 440,50 Km/h,-80811109,-349683544,Curado,-8.0811109,-34.9683544
FS033,Fotossensor,AV. DR. JOSE RUFINOSEMAFORO 082.,60 Km/h,-808463,-3492803,Estância,-0.0808463,-0.3492803
FS037,Fotossensor,AV. GOV. AGAMENON MAGALHAESSEMAFORO 069,60 Km/h,-806268,-3489733,Paissandu,-0.0806268,-0.3489733
